,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,id_calendario,id_provincia
65,2545,59084,1013510,134151,114569,1195,8401,0.0,5,4
66,2698,62896,1038269,123451,95772,890,7997,0.0,4,4
67,840,78016,1060145,102170,70907,95,6626,0.0,3,4
68,847,81431,1078213,87359,56004,59,6427,0.0,2,4
69,852,88826,1096050,70293,38798,55,6208,0.0,1,4
70,71,384,3107,5389,5099,3737,50298,2208.0,35,20
71,71,413,3678,6155,7165,3393,43926,2207.0,34,20
72,71,456,4386,7009,8773,3761,35715,2207.0,33,20
73,71,0,6038,7855,9804,3262,29827,2233.0,32,20
74,71,0,6755,8428,10517,1659,26618,2206.0,31,20
75,71,0,7219,9091,6828,4941,25388,2206.0,30,20
76,71,0,7423,8455,10115,712,22996,2196.0,29,20
77,71,0,8843,8740,11436,591,20406,2309.0,28,20
78,63,0,8276,8768,11195,562,18886,2154.0,27,20
79,63,0,8801,8690,10242,426,16578,3176.0,26,20
80,63,0,8838,7543,9558,408,10299,2151.0,25,20
81,63,0,9945,7619,9305,804,7477,3098.0,24,20
82,34,43,14449,9285,6333,72,15,2151.0,23,20
83,34,43,16631,8670,6049,34,10,2151.0,22,20
84,34,1708,18761,6443,5606,29,7,2151.0,21,20
85,34,1669,17955,6425,5461,29,7,2003.0,20,20
86,34,1994,18475,6358,5320,34,7,2151.0,19,20
87,34,2414,14624,6112,4347,36,6,6500.0,18,20
88,34,2896,14770,6145,3539,41,4,6500.0,17,20
89,34,3182,15315,5904,2927,43,2,2151.0,16,20
90,52,3204,15383,5758,2563,50,1,0.0,15,20
91,15,3318,15655,5325,2342,47,1,0.0,14,20
92,15,3328,15861,4901,2161,49,0,0.0,13,20
93,15,3478,16519,4889,2077,54,0,0.0,12,20
94,15,4038,16183,4845,1853,50,0,0.0,11,20
95,15,5736,14742,4567,1496,47,1,0.0,10,20
96,15,6102,14653,4241,1334,42,1,0.0,9,20
97,15,6513,14484,4106,1313,39,1,0.0,8,20
98,15,6871,14206,4143,812,43,1,0.0,7,20
99,15,7253,14003,3776,593,37,1,0.0,6,20
100,13,7634,13754,3202,517,9,1,0.0,5,20
101,21,8047,14093,2910,421,0,1,0.0,4,20
102,19,8845,13790,1915,111,0,0,0.0,3,20
103,19,8844,13794,1915,111,0,0,0.0,2,20
104,19,9147,13330,1672,64,0,0,0.0,1,20
105,461,987,16782,18938,8049,15828,79390,3711.0,35,11
106,461,1047,17603,20109,8391,15974,76271,3708.0,34,11
107,461,1099,16888,21235,20898,13012,62946,7580.0,33,11
108,461,112,18845,22678,21937,13692,58435,7585.0,32,11
109,301,112,22545,20986,23852,14412,49705,7958.0,31,11
110,301,112,23444,21574,24032,16069,47239,7958.0,30,11
111,301,112,24357,22102,27556,14496,42462,8384.0,29,11
112,301,112,24782,22479,26802,15701,40949,7965.0,28,11
113,308,112,24675,21639,27546,13751,38729,7194.0,27,11
114,308,928,24350,21140,29044,12082,33311,6969.0,26,11
115,308,928,23291,19976,29851,10416,28539,6917.0,25,11
116,83,0,25899,18959,30902,13516,21556,6988.0,24,11
117,69,1216,32764,28198,13336,12987,16740,6917.0,23,11
118,69,1383,38488,26431,16789,15348,9904,1492.0,22,11
119,69,3801,38719,25632,18965,12393,6368,1035.0,21,11
120,69,3405,36437,25633,18965,12393,6368,0.0,20,11
121,70,3503,38729,24916,20335,11085,5667,1035.0,19,11
122,70,2968,34167,24282,21887,9251,4630,1035.0,18,11
123,70,3261,32516,24488,23296,8219,3897,1035.0,17,11
124,70,3432,37144,24088,20123,7290,3289,1035.0,16,11
125,95,3496,40059,23008,20307,3827,2004,0.0,15,11
126,191,3733,42590,22349,18044,3157,545,0.0,14,11
127,191,3835,44544,21467,15671,3025,314,0.0,13,11
128,191,3983,45634,21323,14887,2586,250,0.0,12,11
129,190,5227,46821,21193,13746,2022,217,0.0,11,11
130,197,8063,45823,20346,12090,1571,201,0.0,10,11
131,194,8755,46304,19388,10587,1238,184,0.0,9,11
132,194,9593,46771,18608,10092,1136,159,0.0,8,11
133,240,10353,47131,19016,7498,979,157,0.0,7,11
134,288,11058,47551,17675,6337,788,149,0.0,6,11
135,26,12053,47425,15883,5346,489,135,0.0,5,11
136,483,12837,42106,7908,2600,124,2,0.0,4,11
137,398,14731,41934,5428,1274,5,0,0.0,3,11
138,412,14854,41530,5418,1085,5,0,0.0,2,11
139,438,15849,40869,4644,741,5,0,0.0,1,11
140,109,1444,45707,30940,34682,15309,17563,20024.0,35,18
141,109,1444,45804,31217,34290,14526,15394,20021.0,34,18
142,113,1677,61369,31856,33080,13871,14055,15607.0,33,18
