,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),id_calendario,id_provincia
206,731926,603505,83581,2503,42337,4,2
207,733130,604343,83258,2480,43049,3,2
208,737107,607696,82830,2419,44162,2,2
209,741515,612460,82651,2397,44007,1,2
210,90084,82363,6024,396,1301,35,10
211,70942,64971,4722,300,949,34,10
212,88953,81056,6148,396,1353,33,10
213,97971,89073,6921,440,1537,32,10
214,78053,70346,5979,381,1347,31,10
215,97971,89073,6921,440,1537,30,10
216,78850,70737,6103,373,1637,29,10
217,85319,76714,6712,396,1497,28,10
218,86349,77979,6304,422,1644,27,10
219,85319,76714,6712,396,1497,26,10
220,87649,78631,7029,388,1601,25,10
221,89969,80463,7172,400,1934,24,10
222,91158,81648,7159,396,1955,23,10
223,89969,80463,7172,400,1934,22,10
224,95050,84010,7483,398,3159,21,10
225,96921,86631,7074,394,2822,20,10
226,94809,84656,6938,380,2835,19,10
227,99001,88131,7266,393,3211,18,10
228,99564,87448,7330,386,4400,17,10
229,102049,89223,7177,376,5273,16,10
230,102558,89391,7335,375,5457,15,10
231,102444,89192,7493,376,5383,14,10
232,102049,89201,7188,377,5283,13,10
233,102049,89223,7177,376,5273,12,10
234,102558,89391,7335,375,5457,11,10
235,102444,89192,7493,376,5383,10,10
236,102049,89201,7188,377,5283,9,10
237,107615,90409,10824,379,6003,8,10
238,110808,92219,12081,388,6120,7,10
239,108530,90063,11982,374,6111,6,10
240,108534,89938,12207,397,5992,5,10
241,105219,86758,12015,360,6086,4,10
242,105505,86971,11982,357,6195,3,10
243,102628,84609,11533,337,6149,2,10
244,102607,84748,11437,332,6090,1,10
245,157377,143888,10524,692,2273,35,8
246,130737,119734,8702,552,1749,34,8
247,189649,172813,13107,843,2886,33,8
248,207536,188688,14660,932,3256,32,8
249,164023,147826,12565,802,2830,31,8
250,207536,188688,14660,932,3256,30,8
251,168446,151117,13037,796,3496,29,8
252,178988,160937,14081,830,3140,28,8
253,181304,163732,13236,885,3451,27,8
254,178988,160937,14081,830,3140,26,8
255,186835,167614,14983,826,3412,25,8
256,191513,171277,15267,852,4117,24,8
257,194253,173987,15254,845,4167,23,8
258,191513,171277,15267,852,4117,22,8
259,203743,180079,16040,852,6772,21,8
260,207407,185388,15138,842,6039,20,8
261,200199,178759,14651,802,5987,19,8
262,213670,190211,15681,847,6931,18,8
263,215675,189431,15877,835,9532,17,8
264,223126,195082,15692,823,11529,16,8
265,224703,195853,16072,822,11956,15,8
266,225017,195908,16459,826,11824,14,8
267,223126,195034,15716,825,11551,13,8
268,223126,195082,15692,823,11529,12,8
269,224703,195853,16072,822,11956,11,8
270,225017,195908,16459,826,11824,10,8
271,223126,195034,15716,825,11551,9,8
272,228781,192202,23011,806,12762,8,8
273,235242,195778,25647,825,12992,7,8
274,229823,190718,25372,792,12941,6,8
275,229839,190458,25851,841,12689,5,8
276,230049,189685,26270,787,13307,4,8
277,230563,190061,26184,780,13538,3,8
278,223774,184487,25146,734,13407,2,8
279,223508,184607,24913,723,13265,1,8
280,35254,32233,2357,155,509,35,17
281,28733,26315,1913,121,384,34,17
282,33824,30821,2338,150,515,33,17
283,36411,33104,2572,164,571,32,17
284,30471,27462,2334,149,526,31,17
285,36411,33104,2572,164,571,30,17
286,31265,28048,2420,148,649,29,17
287,34057,30623,2679,158,597,28,17
288,34864,31485,2545,170,664,27,17
289,34057,30623,2679,158,597,26,17
290,34562,31006,2772,153,631,25,17
291,35319,31587,2816,157,759,24,17
292,35966,32214,2824,156,772,23,17
293,35319,31587,2816,157,759,22,17
294,37799,33409,2976,158,1256,21,17
295,38705,34596,2825,157,1127,20,17
296,39405,35185,2884,158,1178,19,17
297,39741,35377,2917,158,1289,18,17
298,40111,35230,2953,155,1773,17,17
299,41139,35968,2893,152,2126,16,17
300,41233,35939,2949,151,2194,15,17
301,40743,35472,2980,150,2141,14,17
302,41139,35959,2898,152,2130,13,17
303,41139,35968,2893,152,2126,12,17
304,41233,35939,2949,151,2194,11,17
305,40743,35472,2980,150,2141,10,17
306,41139,35959,2898,152,2130,9,17
307,41567,34920,4181,147,2319,8,17
308,41803,34789,4558,147,2309,7,17
309,41848,34728,4620,144,2356,6,17
310,41854,34683,4707,153,2311,5,17
311,42133,34741,4811,144,2437,4,17
312,42310,34878,4805,143,2484,3,17
313,42246,34829,4747,139,2531,2,17
314,42201,34856,4704,136,2505,1,17
315,36161,33062,2418,159,522,35,14
316,30250,27703,2014,128,405,34,14
317,48709,44385,3366,217,741,33,14
318,44258,40239,3126,199,694,32,14
319,35160,31688,2693,172,607,31,14
320,44258,40239,3126,199,694,30,14
321,42953,38534,3324,203,892,29,14
322,45686,41079,3594,212,801,28,14
323,46331,41841,3382,226,882,27,14
324,45686,41079,3594,212,801,26,14
325,47985,43049,3848,212,876,25,14
326,49460,44234,3943,220,1063,24,14
327,50113,44885,3935,218,1075,23,14
328,49460,44234,3943,220,1063,22,14
329,51824,45804,4080,217,1723,21,14
330,52432,46865,3827,213,1527,20,14
331,53058,47376,3883,212,1587,19,14
332,53642,47752,3937,213,1740,18,14
333,54304,47696,3998,210,2400,17,14
334,56418,49327,3968,208,2915,16,14
335,56581,49316,4047,207,3011,15,14
336,56381,49087,4124,207,2963,14,14
337,56418,49314,3974,209,2921,13,14
338,56418,49327,3968,208,2915,12,14
339,56581,49316,4047,207,3011,11,14
340,56381,49087,4124,207,2963,10,14
341,56418,49314,3974,209,2921,9,14
342,56957,47850,5729,201,3177,8,14
343,56787,47261,6191,199,3136,7,14
344,56443,46840,6231,194,3178,6,14
345,56446,46775,6349,206,3116,5,14
346,56456,46550,6447,193,3266,4,14
347,56366,46464,6401,191,3310,3,14
348,56187,46323,6314,184,3366,2,14
349,55953,46214,6237,181,3321,1,14
350,70038,64035,4684,308,1011,35,22
351,71751,65712,4776,303,960,34,22
352,72305,65886,4997,322,1100,33,22
353,71751,65235,5068,322,1126,32,22
354,71728,64644,5495,351,1238,31,22
355,71751,65235,5068,322,1126,30,22
356,71152,63832,5507,336,1477,29,22
357,70628,63505,5556,328,1239,28,22
358,70536,63699,5150,344,1343,27,22
359,70628,63505,5556,328,1239,26,22
360,70733,63456,5672,313,1292,25,22
361,71332,63795,5687,317,1533,24,22
362,63774,57121,5008,277,1368,23,22
363,71332,63795,5687,317,1533,22,22
364,65887,58234,5187,276,2190,21,22
365,76460,68342,5581,311,2226,20,22
366,75708,67601,5540,303,2264,19,22
367,75704,67392,5556,300,2456,18,22
368,75269,66109,5541,292,3327,17,22
369,83364,72886,5863,308,4307,16,22
370,82810,72178,5923,303,4406,15,22
371,81939,71338,5994,301,4306,14,22
372,83364,72868,5872,308,4316,13,22
373,83364,72886,5863,308,4307,12,22
374,82810,72178,5923,303,4406,11,22
375,81939,71338,5994,301,4306,10,22
376,83364,72868,5872,308,4316,9,22
377,79736,66987,8020,281,4448,8,22
378,78651,65456,8575,276,4344,7,22
379,78106,64816,8623,269,4398,6,22
380,76862,63693,8645,281,4243,5,22
381,73063,60244,8343,250,4226,4,22
382,72155,59480,8194,244,4237,3,22
383,72837,60049,8185,239,4364,2,22
384,72038,59500,8030,233,4275,1,22
385,25538,23349,1708,112,369,35,21
386,20566,18835,1369,87,275,34,21
387,27504,25063,1901,122,418,33,21
388,26765,24334,1891,120,420,32,21
389,21614,19479,1656,106,373,31,21
390,26765,24334,1891,120,420,30,21
391,24254,21759,1877,115,503,29,21
392,29306,26351,2305,136,514,28,21
393,29404,26553,2147,144,560,27,21
394,29306,26351,2305,136,514,26,21
395,27079,24292,2172,120,495,25,21
396,28349,25354,2260,126,609,24,21
397,29547,26464,2320,129,634,23,21
398,28349,25354,2260,126,609,22,21
399,32830,29017,2585,137,1091,21,21
400,33864,30268,2472,138,986,20,21
401,34553,30853,2529,138,1033,19,21
