,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
225,2020,2,Jujuy,32705,38938,5057,952,16664
226,2020,2,La Pampa,8551,54422,14232,11314,1290
227,2020,2,La Rioja,16885,34984,1,250,35
228,2020,2,Mendoza,91904,62941,29613,15924,802
229,2020,2,Misiones,50792,74497,2579,3319,9153
230,2020,2,Neuquén,30256,67990,11037,15755,1134
231,2020,2,Río Negro,49756,39650,10382,11331,18367
232,2020,2,Salta,59502,81740,24289,5123,7108
233,2020,2,San Juan,40092,8275,5509,7019,8882
234,2020,2,San Luis,8401,8357,6,60935,36253
235,2020,2,Santa Cruz,12845,16044,1027,6585,2368
236,2020,2,Santa Fe,299974,381679,46698,30487,19094
237,2020,2,Santiago Del Estero,25917,72074,355,3038,4063
238,2020,2,Tierra Del Fuego,12854,26025,0,0,310
239,2020,2,Tucumán,150084,9833,55120,1357,762
240,2020,1,Buenos Aires,673237,2210349,720688,85443,18334
241,2020,1,Capital Federal,184494,1097635,38898,3911,28556
242,2020,1,Catamarca,21945,3146,12056,261,2227
243,2020,1,Chaco,46356,54144,11958,6239,1580
244,2020,1,Chubut,45763,27287,1324,16885,5479
245,2020,1,Córdoba,286168,406109,68512,41617,8693
246,2020,1,Corrientes,51126,53231,2172,2437,5004
247,2020,1,Entre Ríos,90368,95434,13245,18737,14062
248,2020,1,Formosa,21068,8887,1800,14510,169
249,2020,1,Jujuy,32066,38938,3078,942,16641
250,2020,1,La Pampa,8553,53755,13821,11295,1802
251,2020,1,La Rioja,13076,34984,0,251,29
252,2020,1,Mendoza,91955,50251,28059,12465,722
253,2020,1,Misiones,51458,69452,1220,460,10962
254,2020,1,Neuquén,29305,65951,11031,14711,729
255,2020,1,Río Negro,47756,38479,10381,11222,18362
256,2020,1,Salta,60426,75593,23025,4125,7212
257,2020,1,San Juan,40092,6448,5508,7082,5101
258,2020,1,San Luis,8301,7612,5,58301,36333
259,2020,1,Santa Cruz,12845,15766,1026,6817,2368
260,2020,1,Santa Fe,302366,383673,35123,30488,19468
261,2020,1,Santiago Del Estero,24695,70424,200,2779,4657
262,2020,1,Tierra Del Fuego,12854,25632,0,0,308
263,2020,1,Tucumán,143184,10494,44687,1355,347
264,2019,4,Buenos Aires,720011,2191672,669194,87111,18266
265,2019,4,Capital Federal,196938,1093143,35534,3914,28576
266,2019,4,Catamarca,22999,3318,9506,261,2227
267,2019,4,Chaco,48661,53602,8831,5229,1580
268,2019,4,Chubut,47045,26977,1324,15267,5489
269,2019,4,Córdoba,296872,410038,53335,37750,8693
270,2019,4,Corrientes,52525,51845,2002,2458,5004
271,2019,4,Entre Ríos,92981,99206,12875,18561,15407
272,2019,4,Formosa,21567,8684,1760,14531,169
273,2019,4,Jujuy,32949,37604,873,814,16641
274,2019,4,La Pampa,15457,56854,4942,11341,1805
275,2019,4,La Rioja,13738,34984,0,251,29
276,2019,4,Mendoza,96678,49711,24989,13672,730
277,2019,4,Misiones,53116,69676,847,441,11733
278,2019,4,Neuquén,29826,60970,10549,14246,854
279,2019,4,Río Negro,49747,37933,9658,11437,18365
280,2019,4,Salta,63272,76062,21865,3040,8206
281,2019,4,San Juan,41360,6338,4931,7241,5104
282,2019,4,San Luis,8569,8027,6,55266,36333
283,2019,4,Santa Cruz,13264,15899,1036,6800,2371
284,2019,4,Santa Fe,312072,382254,27464,26978,20401
285,2019,4,Santiago Del Estero,24682,71239,200,2810,4657
286,2019,4,Tierra Del Fuego,13261,26821,0,0,310
287,2019,4,Tucumán,146985,11012,39574,725,348
288,2019,3,Buenos Aires,1277249,2144956,425386,85572,27070
289,2019,3,Capital Federal,300288,1080973,24900,3895,31155
290,2019,3,Catamarca,24349,5543,13,244,2251
291,2019,3,Chaco,50416,49156,8063,5224,1592
292,2019,3,Chubut,37298,27090,1917,15149,7551
293,2019,3,Córdoba,307780,399231,30064,37277,8701
294,2019,3,Corrientes,53344,50230,1888,2458,4839
295,2019,3,Entre Ríos,94947,96305,12888,18530,15432
296,2019,3,Formosa,21777,8359,1476,14292,162
297,2019,3,Jujuy,33110,35742,274,812,16638
298,2019,3,La Pampa,19469,52941,4994,11462,1962
299,2019,3,La Rioja,14390,34984,11,251,41
300,2019,3,Mendoza,148640,54312,6865,12975,1545
301,2019,3,Misiones,54493,65872,829,419,12270
302,2019,3,Neuquén,43347,60484,5560,13512,2518
303,2019,3,Río Negro,67478,37425,9739,10806,18847
304,2019,3,Salta,65799,74329,733,1580,9394
305,2019,3,San Juan,51670,7425,1227,7241,5535
306,2019,3,San Luis,13037,10561,350,62286,36466
307,2019,3,Santa Cruz,10663,17056,969,6544,2738
308,2019,3,Santa Fe,319396,377171,18690,24269,21408
309,2019,3,Santiago Del Estero,24556,71198,219,2759,34400
310,2019,3,Tierra Del Fuego,19790,26659,651,0,1487
311,2019,3,Tucumán,150918,12089,116,684,324
312,2019,2,Buenos Aires,1284658,2079900,382971,75240,32929
313,2019,2,Capital Federal,309937,1061358,36082,3962,4281
314,2019,2,Catamarca,25682,5543,13,146,2251
315,2019,2,Chaco,50765,47448,4203,4727,1591
316,2019,2,Chubut,37313,26338,1917,14443,7545
317,2019,2,Córdoba,314768,388254,23023,33847,15236
318,2019,2,Corrientes,53835,47431,1701,2444,6138
319,2019,2,Entre Ríos,97081,91081,12764,17369,17529
320,2019,2,Formosa,21916,8686,1382,14292,162
321,2019,2,Jujuy,33022,30742,274,812,21857
322,2019,2,La Pampa,19471,52101,4840,10789,3004
323,2019,2,La Rioja,15014,34984,11,251,41
324,2019,2,Mendoza,148673,54027,6865,12748,1544
325,2019,2,Misiones,55373,64272,543,421,12269
